model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 SLK Class,2005,5200,Automatic,63000,Petrol,325,32.1,1.8
 S Class,2017,34948,Automatic,27000,Hybrid,20,61.4,2.1
 SL CLASS,2016,49948,Automatic,6200,Petrol,555,28,5.5
 G Class,2016,61948,Automatic,16000,Petrol,325,30.4,4
 G Class,2016,73948,Automatic,4000,Petrol,325,30.1,4
 SL CLASS,2011,149948,Automatic,3000,Petrol,570,21.4,6.2
 GLE Class,2018,30948,Automatic,16000,Diesel,145,47.9,2.1
 S Class,2012,10948,Automatic,107000,Petrol,265,36.7,3.5
 G Class,2019,139948,Automatic,12000,Petrol,145,21.4,4
 GLA Class,2017,19750,Automatic,15258,Diesel,30,64.2,2.1
 A Class,2020,32980,Automatic,606,Petrol,145,35.8,2
 A Class,2020,26980,Automatic,1000,Diesel,145,62.8,1.5
 B Class,2019,23750,Automatic,278,Diesel,145,55.4,2
 GLC Class,2019,67980,Automatic,5500,Petrol,145,21.7,4
 GLA Class,2016,18980,Automatic,41713,Diesel,125,56.6,2.1
 B Class,2017,15890,Automatic,24841,Diesel,150,68.9,1.5
 C Class,2017,19890,Automatic,30281,Diesel,150,60.1,2.1
 GLE Class,2019,56800,Automatic,2483,Petrol,145,29.5,3
 B Class,2017,17513,Automatic,14128,Diesel,150,68.9,2.1
 C Class,2014,15701,Automatic,20498,Diesel,20,64.2,2.1
 C Class,2019,26601,Automatic,9949,Diesel,150,64.2,2
 C Class,2016,17672,Automatic,31656,Diesel,30,64.2,2.1
 E Class,2015,20769,Automatic,21874,Diesel,165,51.4,3
 E Class,2017,22270,Automatic,13398,Diesel,165,52.3,3
 GL Class,2015,34129,Automatic,13581,Diesel,330,36.2,3
 SL CLASS,2017,20601,Automatic,16730,Diesel,150,70.6,2.1
 CLS Class,2016,25077,Automatic,13887,Diesel,165,49.6,3
 SL CLASS,2017,21609,Automatic,2780,Diesel,30,70.6,2.1
 SL CLASS,2018,22914,Automatic,8725,Petrol,145,47.9,2
 C Class,2016,19328,Automatic,25042,Diesel,30,64.2,2.1
 C Class,2019,29546,Automatic,7990,Diesel,145,54.3,2
 GLC Class,2019,35611,Automatic,26153,Diesel,145,45.6,3
 C Class,2017,15311,Automatic,31371,Diesel,20,65.7,2.1
 A Class,2020,28128,Automatic,2563,Petrol,145,47.9,1.3
 A Class,2019,23184,Manual,1173,Petrol,145,44.8,1.3
 A Class,2017,15787,Automatic,24092,Diesel,20,70.6,2.1
 GLC Class,2018,30682,Automatic,14517,Diesel,145,56.5,2.1
 A Class,2019,25701,Automatic,11000,Diesel,150,56.5,2
 C Class,2020,31790,Automatic,3500,Petrol,145,64.2,2
 A Class,2019,25190,Automatic,2471,Diesel,145,56.5,2
 SLK Class,2014,15990,Automatic,43955,Petrol,205,43.5,1.8
 CLS Class,2018,34990,Automatic,18837,Diesel,150,47.9,2.9
 GLC Class,2019,30799,Automatic,9886,Diesel,145,41.5,2.1
 C Class,2017,19743,Automatic,16509,Diesel,145,61.4,2.1
 C Class,2019,24055,Automatic,7475,Diesel,145,61.4,2
 B Class,2019,20945,Automatic,13661,Petrol,145,45.6,1.3
 C Class,2019,28524,Automatic,8263,Diesel,145,57.7,2
 E Class,2019,24541,Automatic,10279,Diesel,145,67.3,2
 E Class,2017,20880,Automatic,37000,Diesel,30,65.7,2
 A Class,2006,2880,Automatic,66000,Diesel,160,52.3,2
 CLC Class,2010,5880,Automatic,40000,Petrol,300,34,1.8
 C Class,2015,14940,Automatic,43000,Diesel,20,64.2,2.1
 SLK Class,2004,4890,Automatic,46000,Petrol,330,28,3.5
 SL CLASS,2010,16990,Automatic,18000,Petrol,555,29.1,3.5
 B Class,2010,3890,Automatic,71000,Petrol,240,40.9,1.5
 B Class,2011,3990,Automatic,90000,Petrol,240,40.9,1.5
 A Class,2011,3440,Manual,74000,Diesel,150,54.3,2
 GLE Class,2020,48995,Automatic,3000,Diesel,145,36.7,2
 SLK Class,2008,5980,Automatic,60000,Petrol,280,34.4,1.8
 E Class,2015,13990,Automatic,52000,Diesel,125,60.1,2.1
 CLA Class,2016,14480,Automatic,84000,Petrol,200,42.8,2
 E Class,2010,6980,Manual,79000,Petrol,300,35.3,1.8
 C Class,2014,11290,Automatic,48000,Diesel,145,56.5,2.1
 E Class,2011,5740,Manual,115000,Diesel,160,52.3,2.1
 V Class,2017,31980,Automatic,16000,Diesel,145,44.8,2.1
 CLA Class,2014,15990,Automatic,45000,Diesel,30,62.8,2.1
 B Class,2015,11240,Automatic,47000,Diesel,125,56.5,2.1
 GLC Class,2019,37980,Automatic,6200,Petrol,145,34,3
 C Class,2019,28980,Automatic,5500,Diesel,145,60.1,2
 C Class,2019,23280,Automatic,3908,Petrol,145,44.1,1.5
 C Class,2019,32980,Automatic,2000,Diesel,145,64.2,2
 M Class,2008,5990,Automatic,110000,Diesel,555,28.8,3
 A Class,2013,7300,Automatic,54000,Diesel,30,65.7,1.8
 S Class,2014,41980,Automatic,26000,Petrol,555,28,5.5
 GL Class,2007,7340,Automatic,104000,Diesel,570,28.8,3
 GL Class,2007,8490,Automatic,74000,Diesel,570,28.8,3
 C Class,2009,4480,Automatic,130000,Diesel,300,37.7,3
 S Class,2016,24880,Automatic,75000,Hybrid,190,42.4,3.5
 E Class,2015,17480,Automatic,22000,Diesel,140,53.3,3
 E Class,2007,4880,Automatic,58000,Diesel,315,37.2,3
 S Class,2015,38980,Automatic,11000,Petrol,270,33.2,4.7
 SLK Class,2010,7495,Manual,59147,Petrol,300,36.2,1.8
 C Class,2007,3790,Automatic,99000,Petrol,555,28.8,2.5
 C Class,2007,3890,Automatic,87000,Petrol,325,32.5,1.8
 CL Class,2015,17863,Automatic,14360,Diesel,20,62.8,2.1
 GLA Class,2015,17624,Automatic,29505,Diesel,125,55.4,2.1
 A Class,2018,18220,Automatic,10361,Diesel,145,68.9,1.5
 SL CLASS,2017,18775,Automatic,19522,Diesel,30,70.6,2.1
 SL CLASS,2017,20745,Automatic,23103,Diesel,30,70.6,2.1
 A Class,2019,18118,Automatic,15561,Diesel,145,68.9,1.5
 A Class,2019,17990,Automatic,14783,Diesel,145,65.7,1.5
 SL CLASS,2019,28491,Automatic,9477,Petrol,145,47.1,2
 A Class,2018,18888,Automatic,11565,Diesel,145,67.3,1.5
 A Class,2019,19840,Automatic,6781,Petrol,145,28.5,1.3
 A Class,2019,18241,Automatic,15722,Diesel,145,65.7,1.5
 A Class,2019,18141,Automatic,15689,Diesel,145,65.7,1.5
 GLS Class,2016,37385,Automatic,21169,Diesel,305,37.2,3
 CLS Class,2017,26166,Automatic,9165,Diesel,150,51.4,3
 B Class,2019,24616,Automatic,3710,Diesel,145,55.4,2
 C Class,2019,30403,Automatic,3000,Petrol,145,46.3,1.5
 SL CLASS,2019,30670,Automatic,3000,Petrol,145,47.1,2
 C Class,2020,30960,Automatic,3000,Diesel,145,64.2,2
 A Class,2020,24107,Automatic,3500,Diesel,145,62.8,1.5
 C Class,2019,24510,Automatic,11368,Diesel,145,58.9,1.6
 GL Class,2016,35371,Automatic,14253,Diesel,325,36.2,3
 GLC Class,2019,33729,Automatic,11301,Diesel,145,56.5,2.1
 C Class,2019,29623,Automatic,7500,Diesel,145,64.2,2
 C Class,2019,27964,Automatic,5617,Diesel,145,57.7,2
 B Class,2019,21394,Automatic,9573,Petrol,145,45.6,1.3
 B Class,2019,20882,Automatic,14257,Petrol,145,45.6,1.3
 CLS Class,2019,37352,Automatic,3000,Diesel,150,45.6,2
 C Class,2018,18051,Automatic,11319,Diesel,145,65.7,1.6
 C Class,2019,24433,Automatic,2326,Petrol,145,46.3,1.5
 GLC Class,2019,37116,Automatic,6250,Diesel,145,40.9,2
 GLA Class,2019,22375,Automatic,13850,Diesel,145,67.3,2.1
 C Class,2019,24915,Automatic,13101,Diesel,145,61.4,2
 E Class,2019,29991,Automatic,10356,Diesel,145,70.6,2
 A Class,2019,22596,Automatic,5382,Diesel,145,62.8,1.5
 A Class,2019,22730,Automatic,1521,Diesel,145,56.5,2
 C Class,2019,26154,Automatic,14696,Diesel,145,56.5,2
 E Class,2020,35438,Automatic,3500,Diesel,145,42.8,2
 C Class,2019,27980,Automatic,3168,Diesel,145,55.4,2
 C Class,2019,28250,Automatic,3477,Diesel,145,61.4,2
 B Class,2019,23280,Automatic,6441,Petrol,145,44.1,1.3
 C Class,2017,15700,Automatic,19023,Diesel,145,65.7,2.1
 CLA Class,2017,18790,Automatic,8423,Diesel,150,67.3,2.1
 GLE Class,2020,54995,Automatic,6700,Diesel,150,32.8,3
 A Class,2018,20450,Automatic,6511,Diesel,150,65.7,1.5
 A Class,2014,11980,Automatic,66690,Diesel,20,64.2,2.1
 C Class,2017,19890,Automatic,26878,Petrol,150,48.7,2
 GLA Class,2018,20350,Automatic,24556,Diesel,145,56.5,2.1
 E Class,2017,22890,Automatic,34934,Diesel,150,61.4,2
 A Class,2017,18890,Automatic,7875,Petrol,150,53.3,1.6
